Roll_No,Date,Address,Name,CountryID,Country,InvoiceId,Payment
70,2009-11-07 00:00:00,2211 W Berry Street,Fort Worth,TX,USA,76110,1.98
71,2009-11-07 00:00:00,302 S 700 E,Salt Lake City,UT,USA,84102,1.98
72,2009-11-08 00:00:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,3.96
73,2009-11-09 00:00:00,Rua da Assunção 53,Lisbon,,Portugal,,5.94
74,2009-11-12 00:00:00,"8, Rue Hanovre",Paris,,France,75002,8.91
75,2009-11-17 00:00:00,Ordynacka 10,Warsaw,,Poland,00-358,13.86
76,2009-11-25 00:00:00,Ullevålsveien 14,Oslo,,Norway,171,0.99
77,2009-12-08 00:00:00,Klanova 9/506,Prague,,Czech Republic,14700,1.98
78,2009-12-08 00:00:00,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,1.98
79,2009-12-09 00:00:00,Sønder Boulevard 51,Copenhagen,,Denmark,1720,3.96
80,2009-12-10 00:00:00,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,5.94
81,2009-12-13 00:00:00,1 Infinite Loop,Cupertino,CA,USA,95014,8.91
82,2009-12-18 00:00:00,302 S 700 E,Salt Lake City,UT,USA,84102,13.86
83,2009-12-26 00:00:00,"9, Place Louis Barthou",Bordeaux,,France,33000,0.99
84,2010-01-08 00:00:00,"68, Rue Jouvence",Dijon,,France,21000,1.98
85,2010-01-08 00:00:00,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,1.98
86,2010-01-09 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,3.96
87,2010-01-10 00:00:00,Celsiusg. 9,Stockholm,,Sweden,11230,6.94
88,2010-01-13 00:00:00,"Calle Lira, 198",Santiago,,Chile,,17.91
89,2010-01-18 00:00:00,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,18.86
90,2010-01-26 00:00:00,801 W 4th Street,Reno,NV,USA,89503,0.99
91,2010-02-08 00:00:00,120 S Orange Ave,Orlando,FL,USA,32801,1.98
92,2010-02-08 00:00:00,162 E Superior Street,Chicago,IL,USA,60611,1.98
93,2010-02-09 00:00:00,2211 W Berry Street,Fort Worth,TX,USA,76110,3.96
94,2010-02-10 00:00:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,5.94
95,2010-02-13 00:00:00,Tauentzienstraße 8,Berlin,,Germany,10789,8.91
96,2010-02-18 00:00:00,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,21.86
97,2010-02-26 00:00:00,"3,Raj Bhavan Road",Bangalore,,India,560001,1.99
98,2010-03-11 00:00:00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,3.98
99,2010-03-11 00:00:00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,3.98
100,2010-03-12 00:00:00,Klanova 9/506,Prague,,Czech Republic,14700,3.96
101,2010-03-13 00:00:00,Sønder Boulevard 51,Copenhagen,,Denmark,1720,5.94
102,2010-03-16 00:00:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,9.91
103,2010-03-21 00:00:00,162 E Superior Street,Chicago,IL,USA,60611,15.86
104,2010-03-29 00:00:00,Barbarossastraße 19,Berlin,,Germany,10779,0.99
105,2010-04-11 00:00:00,"4, Rue Milton",Paris,,France,75009,1.98
106,2010-04-11 00:00:00,"11, Place Bellecour",Lyon,,France,69002,1.98
107,2010-04-12 00:00:00,"68, Rue Jouvence",Dijon,,France,21000,3.96
108,2010-04-13 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,5.94
109,2010-04-16 00:00:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,8.91
110,2010-04-21 00:00:00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,13.86
111,2010-04-29 00:00:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,0.99
112,2010-05-12 00:00:00,627 Broadway,New York,NY,USA,10012-2612,1.98
113,2010-05-12 00:00:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,1.98
114,2010-05-13 00:00:00,120 S Orange Ave,Orlando,FL,USA,32801,3.96
115,2010-05-14 00:00:00,2211 W Berry Street,Fort Worth,TX,USA,76110,5.94
116,2010-05-17 00:00:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,8.91
117,2010-05-22 00:00:00,"11, Place Bellecour",Lyon,,France,69002,13.86
118,2010-05-30 00:00:00,421 Bourke Street,Sidney,NSW,Australia,2010,0.99
119,2010-06-12 00:00:00,307 Macacha Güemes,Buenos Aires,,Argentina,1106,1.98
120,2010-06-12 00:00:00,"12,Community Centre",Delhi,,India,110017,1.98
121,2010-06-13 00:00:00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,3.96
122,2010-06-14 00:00:00,Klanova 9/506,Prague,,Czech Republic,14700,5.94
123,2010-06-17 00:00:00,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,8.91
124,2010-06-22 00:00:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,13.86
125,2010-06-30 00:00:00,Rua da Assunção 53,Lisbon,,Portugal,,0.99
126,2010-07-13 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,1.98
127,2010-07-13 00:00:00,Berger Straße 10,Frankfurt,,Germany,60316,1.98
128,2010-07-14 00:00:00,"4, Rue Milton",Paris,,France,75009,3.96
129,2010-07-15 00:00:00,"68, Rue Jouvence",Dijon,,France,21000,5.94
130,2010-07-18 00:00:00,Ordynacka 10,Warsaw,,Poland,00-358,8.91
131,2010-07-23 00:00:00,"12,Community Centre",Delhi,,India,110017,13.86
132,2010-07-31 00:00:00,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,0.99
133,2010-08-13 00:00:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,1.98
134,2010-08-13 00:00:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,1.98
135,2010-08-14 00:00:00,627 Broadway,New York,NY,USA,10012-2612,3.96
136,2010-08-15 00:00:00,120 S Orange Ave,Orlando,FL,USA,32801,5.94
137,2010-08-18 00:00:00,302 S 700 E,Salt Lake City,UT,USA,84102,8.91
138,2010-08-23 00:00:00,Berger Straße 10,Frankfurt,,Germany,60316,13.86
139,2010-08-31 00:00:00,Celsiusg. 9,Stockholm,,Sweden,11230,0.99
140,2010-09-13 00:00:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,1.98
141,2010-09-13 00:00:00,110 Raeburn Pl,Edinburgh ,,United Kingdom,EH4 1HH,1.98
142,2010-09-14 00:00:00,307 Macacha Güemes,Buenos Aires,,Argentina,1106,3.96
143,2010-09-15 00:00:00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,5.94
144,2010-09-18 00:00:00,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,8.91
145,2010-09-23 00:00:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,13.86
146,2010-10-01 00:00:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,0.99
147,2010-10-14 00:00:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,1.98
148,2010-10-14 00:00:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,1.98
149,2010-10-15 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,3.96
150,2010-10-16 00:00:00,"4, Rue Milton",Paris,,France,75009,5.94
151,2010-10-19 00:00:00,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,8.91
152,2010-10-24 00:00:00,110 Raeburn Pl,Edinburgh ,,United Kingdom,EH4 1HH,13.86
153,2010-11-01 00:00:00,Sønder Boulevard 51,Copenhagen,,Denmark,1720,0.99
154,2010-11-14 00:00:00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,1.98
155,2010-11-14 00:00:00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,1.98
156,2010-11-15 00:00:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,3.96
157,2010-11-16 00:00:00,627 Broadway,New York,NY,USA,10012-2612,5.94
158,2010-11-19 00:00:00,162 E Superior Street,Chicago,IL,USA,60611,8.91
159,2010-11-24 00:00:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,13.86
160,2010-12-02 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,0.99
161,2010-12-15 00:00:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,1.98
162,2010-12-15 00:00:00,C/ San Bernardo 85,Madrid,,Spain,28015,1.98
163,2010-12-16 00:00:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,3.96
164,2010-12-17 00:00:00,307 Macacha Güemes,Buenos Aires,,Argentina,1106,5.94
165,2010-12-20 00:00:00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,8.91
166,2010-12-25 00:00:00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,13.86
167,2011-01-02 00:00:00,2211 W Berry Street,Fort Worth,TX,USA,76110,0.99
168,2011-01-15 00:00:00,1033 N Park Ave,Tucson,AZ,USA,85719,1.98
169,2011-01-15 00:00:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,1.98
170,2011-01-16 00:00:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,3.96
171,2011-01-17 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,5.94
172,2011-01-20 00:00:00,"11, Place Bellecour",Lyon,,France,69002,8.91
173,2011-01-25 00:00:00,C/ San Bernardo 85,Madrid,,Spain,28015,13.86
174,2011-02-02 00:00:00,Klanova 9/506,Prague,,Czech Republic,14700,0.99
175,2011-02-15 00:00:00,Rilská 3174/6,Prague,,Czech Republic,14300,1.98
176,2011-02-15 00:00:00,Grétrystraat 63,Brussels,,Belgium,1000,1.98
177,2011-02-16 00:00:00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,3.96
178,2011-02-17 00:00:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,5.94
179,2011-02-20 00:00:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,8.91
180,2011-02-25 00:00:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,13.86
181,2011-03-05 00:00:00,"68, Rue Jouvence",Dijon,,France,21000,0.99
182,2011-03-18 00:00:00,Porthaninkatu 9,Helsinki,,Finland,530,1.98
183,2011-03-18 00:00:00,3 Chatham Street,Dublin,Dublin,Ireland,,1.98
184,2011-03-19 00:00:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,3.96
185,2011-03-20 00:00:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,5.94
186,2011-03-23 00:00:00,"12,Community Centre",Delhi,,India,110017,8.91
187,2011-03-28 00:00:00,Grétrystraat 63,Brussels,,Belgium,1000,13.86
188,2011-04-05 00:00:00,120 S Orange Ave,Orlando,FL,USA,32801,0.99
189,2011-04-18 00:00:00,69 Salem Street,Boston,MA,USA,2113,1.98
190,2011-04-18 00:00:00,319 N. Frances Street,Madison,WI,USA,53703,1.98
191,2011-04-19 00:00:00,1033 N Park Ave,Tucson,AZ,USA,85719,3.96
192,2011-04-20 00:00:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,5.94
193,2011-04-23 00:00:00,Berger Straße 10,Frankfurt,,Germany,60316,14.91
194,2011-04-28 00:00:00,3 Chatham Street,Dublin,Dublin,Ireland,,21.86
195,2011-05-06 00:00:00,"Av. Brigadeiro Faria Lima, 2170",São José dos Campos,SP,Brazil,12227-000,0.99
196,2011-05-19 00:00:00,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,1.98
197,2011-05-19 00:00:00,Ullevålsveien 14,Oslo,,Norway,171,1.98
198,2011-05-20 00:00:00,Rilská 3174/6,Prague,,Czech Republic,14300,3.96
199,2011-05-21 00:00:00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,5.94
200,2011-05-24 00:00:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,8.91
201,2011-05-29 00:00:00,319 N. Frances Street,Madison,WI,USA,53703,18.86
202,2011-06-06 00:00:00,"4, Rue Milton",Paris,,France,75009,1.99
203,2011-06-19 00:00:00,"8, Rue Hanovre",Paris,,France,75002,2.98
204,2011-06-19 00:00:00,"9, Place Louis Barthou",Bordeaux,,France,33000,3.98
205,2011-06-20 00:00:00,Porthaninkatu 9,Helsinki,,Finland,530,7.96
206,2011-06-21 00:00:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,8.94
207,2011-06-24 00:00:00,110 Raeburn Pl,Edinburgh ,,United Kingdom,EH4 1HH,8.91
208,2011-06-29 00:00:00,Ullevålsveien 14,Oslo,,Norway,171,15.86
209,2011-07-07 00:00:00,627 Broadway,New York,NY,USA,10012-2612,0.99
210,2011-07-20 00:00:00,1 Infinite Loop,Cupertino,CA,USA,95014,1.98
211,2011-07-20 00:00:00,801 W 4th Street,Reno,NV,USA,89503,1.98
212,2011-07-21 00:00:00,69 Salem Street,Boston,MA,USA,2113,3.96
213,2011-07-22 00:00:00,1033 N Park Ave,Tucson,AZ,USA,85719,5.94
214,2011-07-25 00:00:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,8.91
215,2011-07-30 00:00:00,"9, Place Louis Barthou",Bordeaux,,France,33000,13.86
216,2011-08-07 00:00:00,307 Macacha Güemes,Buenos Aires,,Argentina,1106,0.99
217,2011-08-20 00:00:00,"Calle Lira, 198",Santiago,,Chile,,1.98
218,2011-08-20 00:00:00,"3,Raj Bhavan Road",Bangalore,,India,560001,1.98
219,2011-08-21 00:00:00,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,3.96
220,2011-08-22 00:00:00,Rilská 3174/6,Prague,,Czech Republic,14300,5.94
221,2011-08-25 00:00:00,"Praça Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,8.91
222,2011-08-30 00:00:00,801 W 4th Street,Reno,NV,USA,89503,13.86
223,2011-09-07 00:00:00,"Rua dos Campeões Europeus de Viena, 4350",Porto,,Portugal,,0.99
224,2011-09-20 00:00:00,Tauentzienstraße 8,Berlin,,Germany,10789,1.98
225,2011-09-20 00:00:00,Barbarossastraße 19,Berlin,,Germany,10779,1.98
226,2011-09-21 00:00:00,"8, Rue Hanovre",Paris,,France,75002,3.96
227,2011-09-22 00:00:00,Porthaninkatu 9,Helsinki,,Finland,530,5.94
228,2011-09-25 00:00:00,C/ San Bernardo 85,Madrid,,Spain,28015,8.91
229,2011-09-30 00:00:00,"3,Raj Bhavan Road",Bangalore,,India,560001,13.86
230,2011-10-08 00:00:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,0.99
231,2011-10-21 00:00:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,1.98
232,2011-10-21 00:00:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,1.98
233,2011-10-22 00:00:00,1 Infinite Loop,Cupertino,CA,USA,95014,3.96
234,2011-10-23 00:00:00,69 Salem Street,Boston,MA,USA,2113,5.94
235,2011-10-26 00:00:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,8.91
236,2011-10-31 00:00:00,Barbarossastraße 19,Berlin,,Germany,10779,13.86
237,2011-11-08 00:00:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,0.99
238,2011-11-21 00:00:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,1.98
239,2011-11-21 00:00:00,421 Bourke Street,Sidney,NSW,Australia,2010,1.98
240,2011-11-22 00:00:00,"Calle Lira, 198",Santiago,,Chile,,3.96
241,2011-11-23 00:00:00,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,5.94
242,2011-11-26 00:00:00,Grétrystraat 63,Brussels,,Belgium,1000,8.91
243,2011-12-01 00:00:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,13.86
244,2011-12-09 00:00:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,0.99
245,2011-12-22 00:00:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,1.98
246,2011-12-22 00:00:00,Rua da Assunção 53,Lisbon,,Portugal,,1.98
247,2011-12-23 00:00:00,Tauentzienstraße 8,Berlin,,Germany,10789,3.96
248,2011-12-24 00:00:00,"8, Rue Hanovre",Paris,,France,75002,5.94
249,2011-12-27 00:00:00,3 Chatham Street,Dublin,Dublin,Ireland,,8.91
250,2012-01-01 00:00:00,421 Bourke Street,Sidney,NSW,Australia,2010,13.86
251,2012-01-09 00:00:00,"Rua Dr. Falcão Filho, 155",São Paulo,SP,Brazil,01007-010,0.99
252,2012-01-22 00:00:00,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,1.98
253,2012-01-22 00:00:00,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,1.98
254,2012-01-23 00:00:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,3.96
255,2012-01-24 00:00:00,1 Infinite Loop,Cupertino,CA,USA,95014,5.94
256,2012-01-27 00:00:00,319 N. Frances Street,Madison,WI,USA,53703,8.91
257,2012-02-01 00:00:00,Rua da Assunção 53,Lisbon,,Portugal,,13.86
258,2012-02-09 00:00:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,0.99
259,2012-02-22 00:00:00,Ordynacka 10,Warsaw,,Poland,00-358,1.98
260,2012-02-22 00:00:00,Celsiusg. 9,Stockholm,,Sweden,11230,1.98
261,2012-02-23 00:00:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,3.96
262,2012-02-24 00:00:00,"Calle Lira, 198",Santiago,,Chile,,5.94
263,2012-02-27 00:00:00,Ullevålsveien 14,Oslo,,Norway,171,8.91
264,2012-03-03 00:00:00,Qe 7 Bloco G,Brasília,DF,Brazil,71020-677,13.86
265,2012-03-11 00:00:00,1033 N Park Ave,Tucson,AZ,USA,85719,0.99
266,2012-03-24 00:00:00,302 S 700 E,Salt Lake City,UT,USA,84102,1.98
267,2012-03-24 00:00:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,1.98
268,2012-03-25 00:00:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,3.96
269,2012-03-26 00:00:00,Tauentzienstraße 8,Berlin,,Germany,10789,5.94
270,2012-03-29 00:00:00,"9, Place Louis Barthou",Bordeaux,,France,33000,8.91
271,2012-04-03 00:00:00,Celsiusg. 9,Stockholm,,Sweden,11230,13.86
272,2012-04-11 00:00:00,Rilská 3174/6,Prague,,Czech Republic,14300,0.99
273,2012-04-24 00:00:00,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,1.98
274,2012-04-24 00:00:00,Sønder Boulevard 51,Copenhagen,,Denmark,1720,1.98
275,2012-04-25 00:00:00,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,3.96
276,2012-04-26 00:00:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,5.94
277,2012-04-29 00:00:00,801 W 4th Street,Reno,NV,USA,89503,8.91
278,2012-05-04 00:00:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,13.86
279,2012-05-12 00:00:00,Porthaninkatu 9,Helsinki,,Finland,530,0.99
280,2012-05-25 00:00:00,Erzsébet krt. 58.,Budapest,,Hungary,H-1073,1.98
281,2012-05-25 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,1.98
282,2012-05-26 00:00:00,Ordynacka 10,Warsaw,,Poland,00-358,3.96
283,2012-05-27 00:00:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,5.94
284,2012-05-30 00:00:00,"3,Raj Bhavan Road",Bangalore,,India,560001,8.91
285,2012-06-04 00:00:00,Sønder Boulevard 51,Copenhagen,,Denmark,1720,13.86
286,2012-06-12 00:00:00,69 Salem Street,Boston,MA,USA,2113,0.99
287,2012-06-25 00:00:00,162 E Superior Street,Chicago,IL,USA,60611,1.98
288,2012-06-25 00:00:00,2211 W Berry Street,Fort Worth,TX,USA,76110,1.98
289,2012-06-26 00:00:00,302 S 700 E,Salt Lake City,UT,USA,84102,3.96
290,2012-06-27 00:00:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,5.94
291,2012-06-30 00:00:00,Barbarossastraße 19,Berlin,,Germany,10779,8.91
292,2012-07-05 00:00:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,13.86
293,2012-07-13 00:00:00,Theodor-Heuss-Straße 34,Stuttgart,,Germany,70174,0.99
294,2012-07-26 00:00:00,1498 rue Bélanger,Montréal,QC,Canada,H2G 1A7,1.98
295,2012-07-26 00:00:00,Klanova 9/506,Prague,,Czech Republic,14700,1.98
296,2012-07-27 00:00:00,"Rotenturmstraße 4, 1010 Innere Stadt",Vienne,,Austria,1010,3.96
297,2012-07-28 00:00:00,"Av. Paulista, 2022",São Paulo,SP,Brazil,01310-200,5.94
298,2012-07-31 00:00:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,10.91
299,2012-08-05 00:00:00,2211 W Berry Street,Fort Worth,TX,USA,76110,23.86
300,2012-08-13 00:00:00,"8, Rue Hanovre",Paris,,France,75002,0.99
301,2012-08-26 00:00:00,"11, Place Bellecour",Lyon,,France,69002,1.98
302,2012-08-26 00:00:00,"68, Rue Jouvence",Dijon,,France,21000,1.98
